Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp000,Time_Exp/eval_phase/test_stream/Task000/Exp000,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp001,Time_Exp/eval_phase/test_stream/Task000/Exp001,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp002,Time_Exp/eval_phase/test_stream/Task000/Exp002,Top1_Acc_Stream/eval_phase/test_stream/Task000,Time_Stream/eval_phase/test_stream/Task000,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp000,Time_Exp/eval_phase/train_stream/Task000/Exp000,Top1_Acc_Stream/eval_phase/train_stream/Task000,Time_Stream/eval_phase/train_stream/Task000,Top1_Acc_MB/train_phase/train_stream/Task000,Time_MB/train_phase/train_stream/Task000,Top1_Acc_Epoch/train_phase/train_stream/Task000,Time_Epoch/train_phase/train_stream/Task000,<eval.metrics.ProjectionOverheadMetric object at 0x7f1777a529e0>/train_phase/train_stream/Task000/Exp000,experience,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp001,Time_Exp/eval_phase/train_stream/Task000/Exp001,<eval.metrics.ProjectionOverheadMetric object at 0x7f1777a529e0>/train_phase/train_stream/Task000/Exp001,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp002,Time_Exp/eval_phase/train_stream/Task000/Exp002,<eval.metrics.ProjectionOverheadMetric object at 0x7f1777a529e0>/train_phase/train_stream/Task000/Exp002
0.9075,0.6505571189336479,0.0828,0.6325410050339997,0.147,0.6324388830689713,0.3791,1.9177030050195754,0.90185,4.070661353995092,0.90185,4.071184293017723,0.90625,0.0016102079534903169,0.6895833333333333,7.491881248075515,0.0,1,,,,,,
0.8949,0.6904667309718207,0.9191,0.6538992180721834,0.1107,0.6560857850126922,0.6415666666666666,2.0053359089652076,0.90185,4.070661353995092,0.9183,3.890414360095747,0.84375,0.0018141811015084386,0.79395,70.63715732400306,0.0,2,0.9183,3.8900226140394807,0.000354536809027195,,,
0.8863,0.6622356419684365,0.9116,0.6450439059408382,0.927,0.9917937240097672,0.9083,2.301950111053884,0.90185,4.070661353995092,0.9256166666666666,3.889519104035571,0.875,0.0016340790316462517,0.8107,71.17092357296497,0.0,3,0.9183,3.8900226140394807,0.000354536809027195,0.9256166666666666,3.8889121229294688,0.0003864569589495659
