Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp000,Time_Exp/eval_phase/test_stream/Task000/Exp000,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp001,Time_Exp/eval_phase/test_stream/Task000/Exp001,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp002,Time_Exp/eval_phase/test_stream/Task000/Exp002,Top1_Acc_Stream/eval_phase/test_stream/Task000,Time_Stream/eval_phase/test_stream/Task000,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp000,Time_Exp/eval_phase/train_stream/Task000/Exp000,Top1_Acc_Stream/eval_phase/train_stream/Task000,Time_Stream/eval_phase/train_stream/Task000,Top1_Acc_MB/train_phase/train_stream/Task000,Time_MB/train_phase/train_stream/Task000,Top1_Acc_Epoch/train_phase/train_stream/Task000,Time_Epoch/train_phase/train_stream/Task000,<eval.metrics.ProjectionOverheadMetric object at 0x7feac9239a20>/train_phase/train_stream/Task000/Exp000,experience,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp001,Time_Exp/eval_phase/train_stream/Task000/Exp001,<eval.metrics.ProjectionOverheadMetric object at 0x7feac9239a20>/train_phase/train_stream/Task000/Exp001,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp002,Time_Exp/eval_phase/train_stream/Task000/Exp002,<eval.metrics.ProjectionOverheadMetric object at 0x7feac9239a20>/train_phase/train_stream/Task000/Exp002
0.9364,0.6503307049861178,0.1243,0.6306279090931639,0.1147,0.6309846839867532,0.3918,1.9146915649762377,0.9368833333333333,4.0801008369307965,0.9368833333333333,4.080666736001149,0.84375,0.0016194069758057594,0.833,7.527033482911065,0.0,1,,,,,,
0.929,0.6195640449877828,0.9426,0.5990751560311764,0.1011,0.5990080350311473,0.6575666666666666,1.8204276219476014,0.9368833333333333,4.0801008369307965,0.9436333333333333,3.61942891695071,0.84375,0.003373106010258198,0.84505,20.99529392295517,0.0,2,0.9436333333333333,3.6188110871007666,0.045287651591934264,,,
0.9111,0.6309652350610122,0.9273,0.597469498985447,0.9443,0.5985218159621581,0.9275666666666667,1.830062892055139,0.9368833333333333,4.0801008369307965,0.9456666666666667,3.6383339810417965,0.90625,0.002249956945888698,0.8387833333333333,16.085714110988192,0.0,3,0.9436333333333333,3.6188110871007666,0.045287651591934264,0.9456666666666667,3.637233512941748,0.05191777227446437
