Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp000,Time_Exp/eval_phase/test_stream/Task000/Exp000,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp001,Time_Exp/eval_phase/test_stream/Task000/Exp001,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp002,Time_Exp/eval_phase/test_stream/Task000/Exp002,Top1_Acc_Stream/eval_phase/test_stream/Task000,Time_Stream/eval_phase/test_stream/Task000,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp000,Time_Exp/eval_phase/train_stream/Task000/Exp000,Top1_Acc_Stream/eval_phase/train_stream/Task000,Time_Stream/eval_phase/train_stream/Task000,Top1_Acc_MB/train_phase/train_stream/Task000,Time_MB/train_phase/train_stream/Task000,Top1_Acc_Epoch/train_phase/train_stream/Task000,Time_Epoch/train_phase/train_stream/Task000,<eval.metrics.ProjectionOverheadMetric object at 0x7fda6660b580>/train_phase/train_stream/Task000/Exp000,experience,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp001,Time_Exp/eval_phase/train_stream/Task000/Exp001,<eval.metrics.ProjectionOverheadMetric object at 0x7fda6660b580>/train_phase/train_stream/Task000/Exp001,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp002,Time_Exp/eval_phase/train_stream/Task000/Exp002,<eval.metrics.ProjectionOverheadMetric object at 0x7fda6660b580>/train_phase/train_stream/Task000/Exp002
0.9364,0.649264560895972,0.1243,0.633955591940321,0.1147,0.6353443149710074,0.3918,1.9216138490010053,0.9368833333333333,4.121148957987316,0.9368833333333333,4.1217981789959595,0.84375,0.0015328360022976995,0.833,7.439880724996328,0.0,1,,,,,,
0.9324,0.6126073349732906,0.9451,0.5971262630773708,0.0989,0.5988024820107967,0.6588,1.8113584789680317,0.9368833333333333,4.121148957987316,0.9467333333333333,3.6196675800019875,0.90625,0.0027739169308915734,0.8453833333333334,16.07566134899389,0.0,2,0.9467333333333333,3.619052679045126,0.05015805922448635,,,
0.9173,0.6099327959818766,0.9291,0.598928360035643,0.9415,0.5893195669632405,0.9293,1.8009751799982041,0.9368833333333333,4.121148957987316,0.9419,3.656202059937641,0.9375,0.0016723180888220668,0.8329333333333333,15.536768703022972,0.0,3,0.9467333333333333,3.619052679045126,0.05015805922448635,0.9419,3.655593659961596,0.05112123291473836
