,Top1_Acc_Exp/eval_phase/train_stream/Exp000,Time_Exp/eval_phase/train_stream/Exp000,Loss_Exp/eval_phase/train_stream/Exp000,Top1_Acc_Stream/eval_phase/train_stream,Time_Stream/eval_phase/train_stream,Loss_Stream/eval_phase/train_stream,Top1_Acc_MB/train_phase/train_stream,Time_MB/train_phase/train_stream,Loss_MB/train_phase/train_stream,Top1_Acc_Epoch/train_phase/train_stream,Time_Epoch/train_phase/train_stream,Loss_Epoch/train_phase/train_stream,<eval.metrics.ProjectionOverheadMetric object at 0x7f8573fa3130>/train_phase/train_stream/Exp000,Top1_Acc_Exp/eval_phase/test_stream/Exp000,Time_Exp/eval_phase/test_stream/Exp000,Loss_Exp/eval_phase/test_stream/Exp000,Top1_Acc_Stream/eval_phase/test_stream,Time_Stream/eval_phase/test_stream,Loss_Stream/eval_phase/test_stream,Top1_Acc_Exp/eval_phase/test_stream/Exp001,Time_Exp/eval_phase/test_stream/Exp001,Loss_Exp/eval_phase/test_stream/Exp001,Top1_Acc_Exp/eval_phase/test_stream/Exp002,Time_Exp/eval_phase/test_stream/Exp002,Loss_Exp/eval_phase/test_stream/Exp002,Top1_Acc_Exp/eval_phase/test_stream/Exp003,Time_Exp/eval_phase/test_stream/Exp003,Loss_Exp/eval_phase/test_stream/Exp003,Top1_Acc_Exp/eval_phase/test_stream/Exp004,Time_Exp/eval_phase/test_stream/Exp004,Loss_Exp/eval_phase/test_stream/Exp004,Top1_Acc_Exp/eval_phase/test_stream/Exp005,Time_Exp/eval_phase/test_stream/Exp005,Loss_Exp/eval_phase/test_stream/Exp005,Top1_Acc_Exp/eval_phase/train_stream/Exp001,Time_Exp/eval_phase/train_stream/Exp001,Loss_Exp/eval_phase/train_stream/Exp001,<eval.metrics.ProjectionOverheadMetric object at 0x7f8573fa3130>/train_phase/train_stream/Exp001,Top1_Acc_Exp/eval_phase/train_stream/Exp002,Time_Exp/eval_phase/train_stream/Exp002,Loss_Exp/eval_phase/train_stream/Exp002,<eval.metrics.ProjectionOverheadMetric object at 0x7f8573fa3130>/train_phase/train_stream/Exp002,Top1_Acc_Exp/eval_phase/train_stream/Exp003,Time_Exp/eval_phase/train_stream/Exp003,Loss_Exp/eval_phase/train_stream/Exp003,<eval.metrics.ProjectionOverheadMetric object at 0x7f8573fa3130>/train_phase/train_stream/Exp003,Top1_Acc_Exp/eval_phase/train_stream/Exp004,Time_Exp/eval_phase/train_stream/Exp004,Loss_Exp/eval_phase/train_stream/Exp004,<eval.metrics.ProjectionOverheadMetric object at 0x7f8573fa3130>/train_phase/train_stream/Exp004,Top1_Acc_Exp/eval_phase/train_stream/Exp005,Time_Exp/eval_phase/train_stream/Exp005,Loss_Exp/eval_phase/train_stream/Exp005,<eval.metrics.ProjectionOverheadMetric object at 0x7f8573fa3130>/train_phase/train_stream/Exp005
0,1.0,0.2525152829475701,0.3975734106804195,1.0,0.25477593857795,0.3975734106804195,0.9166666666666666,0.05501820705831051,0.37580081820487976,0.5263157894736842,0.42205779906362295,1.1717391594460136,0.0,1.0,0.06604004511609674,0.37536323070526123,1.0,0.06831855280324817,0.37536323070526123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,0.2525152829475701,0.3975734106804195,1.0,0.25477593857795,0.3975734106804195,0.9166666666666666,0.05501820705831051,0.37580081820487976,0.5263157894736842,0.42205779906362295,1.1717391594460136,0.0,1.0,0.06604004511609674,0.37536323070526123,0.0,0.8872386328876019,5.5299967252291164,0.0,0.8844093973748386,5.5299967252291164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.0,0.2525152829475701,0.3975734106804195,1.0,0.25477593857795,0.3975734106804195,0.9166666666666666,0.05501820705831051,0.37580081820487976,0.5263157894736842,0.42205779906362295,1.1717391594460136,0.0,1.0,0.06604004511609674,0.37536323070526123,0.0,0.9195247828029096,1.610509057913571,0.0,0.8844093973748386,5.5299967252291164,0.0,0.917284807190299,1.610509057913571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.0,0.2525152829475701,0.3975734106804195,1.0,0.25477593857795,0.3975734106804195,0.9166666666666666,0.05501820705831051,0.37580081820487976,0.5263157894736842,0.42205779906362295,1.1717391594460136,0.0,1.0,0.06604004511609674,0.37536323070526123,0.0,0.8823282127268612,5.654510708742364,0.0,0.8844093973748386,5.5299967252291164,0.0,0.917284807190299,1.610509057913571,0.0,0.8799235546030104,5.654510708742364,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.0,0.2525152829475701,0.3975734106804195,1.0,0.25477593857795,0.3975734106804195,0.9166666666666666,0.05501820705831051,0.37580081820487976,0.5263157894736842,0.42205779906362295,1.1717391594460136,0.0,1.0,0.06604004511609674,0.37536323070526123,0.0,0.6312210219912231,3.531396228334178,0.0,0.8844093973748386,5.5299967252291164,0.0,0.917284807190299,1.610509057913571,0.0,0.8799235546030104,5.654510708742364,0.0,0.6286357911303639,3.531396228334178,,,,,,,,,,,,,,,,,,,,,,,
5,1.0,0.2525152829475701,0.3975734106804195,1.0,0.25477593857795,0.3975734106804195,0.9166666666666666,0.05501820705831051,0.37580081820487976,0.5263157894736842,0.42205779906362295,1.1717391594460136,0.0,1.0,0.06604004511609674,0.37536323070526123,0.0,0.6957970950752497,3.200665259125209,0.0,0.8844093973748386,5.5299967252291164,0.0,0.917284807190299,1.610509057913571,0.0,0.8799235546030104,5.654510708742364,0.0,0.6286357911303639,3.531396228334178,0.0,0.6932309628464282,3.200665259125209,,,,,,,,,,,,,,,,,,,,
6,1.0,0.2525152829475701,0.3975734106804195,0.0,3.617036109790206,4.959584332429445,0.0,1.35240014269948,4.8579511642456055,0.008653846153846154,89.31992504000664,4.837884363761315,0.0,1.0,0.06578351184725761,0.00679156044498086,1.0,0.06800818769261241,0.00679156044498086,0.0,0.8844093973748386,5.5299967252291164,0.0,0.917284807190299,1.610509057913571,0.0,0.8799235546030104,5.654510708742364,0.0,0.6286357911303639,3.531396228334178,0.0,0.6932309628464282,3.200665259125209,0.0,3.6144446679390967,4.959584332429445,70.80566731467843,,,,,,,,,,,,,,,,
7,1.0,0.2525152829475701,0.3975734106804195,0.0,3.617036109790206,4.959584332429445,0.0,1.35240014269948,4.8579511642456055,0.008653846153846154,89.31992504000664,4.837884363761315,0.0,1.0,0.06578351184725761,0.00679156044498086,0.0,0.9145413911901414,4.988121032714844,0.0,0.9122897549532354,4.988121032714844,0.0,0.917284807190299,1.610509057913571,0.0,0.8799235546030104,5.654510708742364,0.0,0.6286357911303639,3.531396228334178,0.0,0.6932309628464282,3.200665259125209,0.0,3.6144446679390967,4.959584332429445,70.80566731467843,,,,,,,,,,,,,,,,
8,1.0,0.2525152829475701,0.3975734106804195,0.0,3.617036109790206,4.959584332429445,0.0,1.35240014269948,4.8579511642456055,0.008653846153846154,89.31992504000664,4.837884363761315,0.0,1.0,0.06578351184725761,0.00679156044498086,0.0,0.9408341352827847,11.857818004367077,0.0,0.9122897549532354,4.988121032714844,0.0,0.9386111791245639,11.857818004367077,0.0,0.8799235546030104,5.654510708742364,0.0,0.6286357911303639,3.531396228334178,0.0,0.6932309628464282,3.200665259125209,0.0,3.6144446679390967,4.959584332429445,70.80566731467843,,,,,,,,,,,,,,,,
9,1.0,0.2525152829475701,0.3975734106804195,0.0,3.617036109790206,4.959584332429445,0.0,1.35240014269948,4.8579511642456055,0.008653846153846154,89.31992504000664,4.837884363761315,0.0,1.0,0.06578351184725761,0.00679156044498086,0.0,0.9021381298080087,14.269047116124353,0.0,0.9122897549532354,4.988121032714844,0.0,0.9386111791245639,11.857818004367077,0.0,0.8998542129993439,14.269047116124353,0.0,0.6286357911303639,3.531396228334178,0.0,0.6932309628464282,3.200665259125209,0.0,3.6144446679390967,4.959584332429445,70.80566731467843,,,,,,,,,,,,,,,,
