Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp000,Time_Exp/eval_phase/test_stream/Task000/Exp000,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp001,Time_Exp/eval_phase/test_stream/Task000/Exp001,Top1_Acc_Stream/eval_phase/test_stream/Task000,Time_Stream/eval_phase/test_stream/Task000,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp000,Time_Exp/eval_phase/train_stream/Task000/Exp000,Top1_Acc_Stream/eval_phase/train_stream/Task000,Time_Stream/eval_phase/train_stream/Task000,Top1_Acc_MB/train_phase/train_stream/Task000,Time_MB/train_phase/train_stream/Task000,Top1_Acc_Epoch/train_phase/train_stream/Task000,Time_Epoch/train_phase/train_stream/Task000,<eval.metrics.ProjectionOverheadMetric object at 0x7f94c2c03970>/train_phase/train_stream/Task000/Exp000,experience,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp001,Time_Exp/eval_phase/train_stream/Task000/Exp001,<eval.metrics.ProjectionOverheadMetric object at 0x7f94c2c03970>/train_phase/train_stream/Task000/Exp001
0.086,0.5357419641222805,0.0,0.5305250519886613,0.043,1.068543180823326,0.08944,2.8247037620749325,0.08944,2.825637415982783,0.087,0.029820377007126808,0.05556,4.817533810157329,0.0,1,,,
0.0,0.5314564271830022,0.0798,0.5306242131628096,0.0399,1.0645333679858595,0.08944,2.8247037620749325,0.07828,2.8562749391421676,0.102,0.03004331118427217,0.0574,5.023655462777242,0.0,2,0.07828,2.855244932929054,0.006008964963257313
