Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp000,Time_Exp/eval_phase/test_stream/Task000/Exp000,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp001,Time_Exp/eval_phase/test_stream/Task000/Exp001,Top1_Acc_Stream/eval_phase/test_stream/Task000,Time_Stream/eval_phase/test_stream/Task000,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp000,Time_Exp/eval_phase/train_stream/Task000/Exp000,Top1_Acc_Stream/eval_phase/train_stream/Task000,Time_Stream/eval_phase/train_stream/Task000,Top1_Acc_MB/train_phase/train_stream/Task000,Time_MB/train_phase/train_stream/Task000,Top1_Acc_Epoch/train_phase/train_stream/Task000,Time_Epoch/train_phase/train_stream/Task000,<eval.metrics.ProjectionOverheadMetric object at 0x7fe68d3a4d30>/train_phase/train_stream/Task000/Exp000,experience,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp001,Time_Exp/eval_phase/train_stream/Task000/Exp001,<eval.metrics.ProjectionOverheadMetric object at 0x7fe68d3a4d30>/train_phase/train_stream/Task000/Exp001
0.086,0.5368707610759884,0.0,0.5338981340173632,0.043,1.073217443889007,0.08944,2.885582982096821,0.08944,2.8866321379318833,0.087,0.031222997000440955,0.05556,4.947029398055747,0.0,1,,,
0.0,0.5334494570270181,0.0798,0.5360911879688501,0.0399,1.0722319590859115,0.08944,2.885582982096821,0.07828,2.8676484550815076,0.102,0.03133575897663832,0.0574,5.159036653116345,0.0,2,0.07828,2.8667205299716443,0.0078092149924486876
