Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp000,Time_Exp/eval_phase/test_stream/Task000/Exp000,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp001,Time_Exp/eval_phase/test_stream/Task000/Exp001,Top1_Acc_Stream/eval_phase/test_stream/Task000,Time_Stream/eval_phase/test_stream/Task000,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp000,Time_Exp/eval_phase/train_stream/Task000/Exp000,Top1_Acc_Stream/eval_phase/train_stream/Task000,Time_Stream/eval_phase/train_stream/Task000,Top1_Acc_MB/train_phase/train_stream/Task000,Time_MB/train_phase/train_stream/Task000,Top1_Acc_Epoch/train_phase/train_stream/Task000,Time_Epoch/train_phase/train_stream/Task000,<eval.metrics.ProjectionOverheadMetric object at 0x7fe68d3a65c0>/train_phase/train_stream/Task000/Exp000,experience,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp001,Time_Exp/eval_phase/train_stream/Task000/Exp001,<eval.metrics.ProjectionOverheadMetric object at 0x7fe68d3a65c0>/train_phase/train_stream/Task000/Exp001
0.7375,0.649632376851514,0.0943,0.6380724830087274,0.4159,1.2892415260430425,0.74225,4.0755017581395805,0.74225,4.075913884211332,0.625,0.002346666995435953,0.49673333333333336,4.0272122588939965,0.0,1,,,
0.1972,0.6506322028581053,0.7262,0.6392625528387725,0.4617,1.2915255420375615,0.74225,4.0755017581395805,0.726,3.8101429890375584,0.619,0.0017277570441365242,0.49175,4.071096287108958,0.0,2,0.726,3.809623511042446,0.020513537107035518
