,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp000,Time_Exp/eval_phase/train_stream/Task000/Exp000,Loss_Exp/eval_phase/train_stream/Task000/Exp000,Top1_Acc_Stream/eval_phase/train_stream/Task000,Time_Stream/eval_phase/train_stream/Task000,Loss_Stream/eval_phase/train_stream/Task000,Top1_Acc_MB/train_phase/train_stream/Task000,Time_MB/train_phase/train_stream/Task000,Loss_MB/train_phase/train_stream/Task000,Top1_Acc_Epoch/train_phase/train_stream/Task000,Time_Epoch/train_phase/train_stream/Task000,Loss_Epoch/train_phase/train_stream/Task000,<eval.metrics.ProjectionOverheadMetric object at 0x7f0b7c5b2ce0>/train_phase/train_stream/Task000/Exp000,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp000,Time_Exp/eval_phase/test_stream/Task000/Exp000,Loss_Exp/eval_phase/test_stream/Task000/Exp000,Top1_Acc_Stream/eval_phase/test_stream/Task000,Time_Stream/eval_phase/test_stream/Task000,Loss_Stream/eval_phase/test_stream/Task000,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp001,Time_Exp/eval_phase/test_stream/Task000/Exp001,Loss_Exp/eval_phase/test_stream/Task000/Exp001,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp002,Time_Exp/eval_phase/test_stream/Task000/Exp002,Loss_Exp/eval_phase/test_stream/Task000/Exp002,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp003,Time_Exp/eval_phase/test_stream/Task000/Exp003,Loss_Exp/eval_phase/test_stream/Task000/Exp003,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp004,Time_Exp/eval_phase/test_stream/Task000/Exp004,Loss_Exp/eval_phase/test_stream/Task000/Exp004,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp005,Time_Exp/eval_phase/test_stream/Task000/Exp005,Loss_Exp/eval_phase/test_stream/Task000/Exp005,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp001,Time_Exp/eval_phase/train_stream/Task000/Exp001,Loss_Exp/eval_phase/train_stream/Task000/Exp001,<eval.metrics.ProjectionOverheadMetric object at 0x7f0b7c5b2ce0>/train_phase/train_stream/Task000/Exp001,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp002,Time_Exp/eval_phase/train_stream/Task000/Exp002,Loss_Exp/eval_phase/train_stream/Task000/Exp002,<eval.metrics.ProjectionOverheadMetric object at 0x7f0b7c5b2ce0>/train_phase/train_stream/Task000/Exp002,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp003,Time_Exp/eval_phase/train_stream/Task000/Exp003,Loss_Exp/eval_phase/train_stream/Task000/Exp003,<eval.metrics.ProjectionOverheadMetric object at 0x7f0b7c5b2ce0>/train_phase/train_stream/Task000/Exp003,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp004,Time_Exp/eval_phase/train_stream/Task000/Exp004,Loss_Exp/eval_phase/train_stream/Task000/Exp004,<eval.metrics.ProjectionOverheadMetric object at 0x7f0b7c5b2ce0>/train_phase/train_stream/Task000/Exp004,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp005,Time_Exp/eval_phase/train_stream/Task000/Exp005,Loss_Exp/eval_phase/train_stream/Task000/Exp005,<eval.metrics.ProjectionOverheadMetric object at 0x7f0b7c5b2ce0>/train_phase/train_stream/Task000/Exp005
0,0.96055,4.69468603702262,0.13229850948440192,0.96055,4.6950381230562925,0.13229850948440192,1.0,0.0013284827582538128,0.02349812164902687,0.9135666666666666,10.6046462780796,0.2848613283096502,0.0,0.9592,0.7445115488953888,0.1327952549702786,0.9592,0.7448537447489798,0.1327952549702786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.96055,4.69468603702262,0.13229850948440192,0.96055,4.6950381230562925,0.13229850948440192,1.0,0.0013284827582538128,0.02349812164902687,0.9135666666666666,10.6046462780796,0.2848613283096502,0.0,0.9592,0.7445115488953888,0.1327952549702786,0.1305,0.7330811037681997,3.3460440310835837,0.1305,0.7327283178456128,3.3460440310835837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.96055,4.69468603702262,0.13229850948440192,0.96055,4.6950381230562925,0.13229850948440192,1.0,0.0013284827582538128,0.02349812164902687,0.9135666666666666,10.6046462780796,0.2848613283096502,0.0,0.9592,0.7445115488953888,0.1327952549702786,0.0856,0.7342000124044716,3.440139733552933,0.1305,0.7327283178456128,3.3460440310835837,0.0856,0.7338430159725249,3.440139733552933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.96055,4.69468603702262,0.13229850948440192,0.96055,4.6950381230562925,0.13229850948440192,1.0,0.0013284827582538128,0.02349812164902687,0.9135666666666666,10.6046462780796,0.2848613283096502,0.0,0.9592,0.7445115488953888,0.1327952549702786,0.107,0.7344515365548432,3.414127568602562,0.1305,0.7327283178456128,3.3460440310835837,0.0856,0.7338430159725249,3.440139733552933,0.107,0.7340915412642062,3.414127568602562,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.96055,4.69468603702262,0.13229850948440192,0.96055,4.6950381230562925,0.13229850948440192,1.0,0.0013284827582538128,0.02349812164902687,0.9135666666666666,10.6046462780796,0.2848613283096502,0.0,0.9592,0.7445115488953888,0.1327952549702786,0.0647,0.7316162684001029,3.4336560094356536,0.1305,0.7327283178456128,3.3460440310835837,0.0856,0.7338430159725249,3.440139733552933,0.107,0.7340915412642062,3.414127568602562,0.0647,0.7312596919946373,3.4336560094356536,,,,,,,,,,,,,,,,,,,,,,,
5,0.96055,4.69468603702262,0.13229850948440192,0.96055,4.6950381230562925,0.13229850948440192,1.0,0.0013284827582538128,0.02349812164902687,0.9135666666666666,10.6046462780796,0.2848613283096502,0.0,0.9592,0.7445115488953888,0.1327952549702786,0.0588,0.7359349019825459,3.474345756173134,0.1305,0.7327283178456128,3.3460440310835837,0.0856,0.7338430159725249,3.440139733552933,0.107,0.7340915412642062,3.414127568602562,0.0647,0.7312596919946373,3.4336560094356536,0.0588,0.7355871857143939,3.474345756173134,,,,,,,,,,,,,,,,,,,,
6,0.96055,4.69468603702262,0.13229850948440192,0.96755,5.219450534787029,0.10689010951318778,1.0,0.0013643428683280945,0.05410522222518921,0.9223666666666667,16.544261533766985,0.251755741947641,0.0,0.9339,0.877913624048233,0.21327385018617862,0.9339,0.8782663503661752,0.21327385018617862,0.1305,0.7327283178456128,3.3460440310835837,0.0856,0.7338430159725249,3.440139733552933,0.107,0.7340915412642062,3.414127568602562,0.0647,0.7312596919946373,3.4336560094356536,0.0588,0.7355871857143939,3.474345756173134,0.96755,5.2188849351368845,0.10689010951318778,0.00010236119851469994,,,,,,,,,,,,,,,,
7,0.96055,4.69468603702262,0.13229850948440192,0.96755,5.219450534787029,0.10689010951318778,1.0,0.0013643428683280945,0.05410522222518921,0.9223666666666667,16.544261533766985,0.251755741947641,0.0,0.9339,0.877913624048233,0.21327385018617862,0.9663,0.8659869786351919,0.11094492309654015,0.9663,0.8655820116400719,0.11094492309654015,0.0856,0.7338430159725249,3.440139733552933,0.107,0.7340915412642062,3.414127568602562,0.0647,0.7312596919946373,3.4336560094356536,0.0588,0.7355871857143939,3.474345756173134,0.96755,5.2188849351368845,0.10689010951318778,0.00010236119851469994,,,,,,,,,,,,,,,,
8,0.96055,4.69468603702262,0.13229850948440192,0.96755,5.219450534787029,0.10689010951318778,1.0,0.0013643428683280945,0.05410522222518921,0.9223666666666667,16.544261533766985,0.251755741947641,0.0,0.9339,0.877913624048233,0.21327385018617862,0.0859,0.8678102702833712,4.440536541938782,0.9663,0.8655820116400719,0.11094492309654015,0.0859,0.8674080930650234,4.440536541938782,0.107,0.7340915412642062,3.414127568602562,0.0647,0.7312596919946373,3.4336560094356536,0.0588,0.7355871857143939,3.474345756173134,0.96755,5.2188849351368845,0.10689010951318778,0.00010236119851469994,,,,,,,,,,,,,,,,
9,0.96055,4.69468603702262,0.13229850948440192,0.96755,5.219450534787029,0.10689010951318778,1.0,0.0013643428683280945,0.05410522222518921,0.9223666666666667,16.544261533766985,0.251755741947641,0.0,0.9339,0.877913624048233,0.21327385018617862,0.0799,0.8735608076676726,4.044085623025894,0.9663,0.8655820116400719,0.11094492309654015,0.0859,0.8674080930650234,4.440536541938782,0.0799,0.8730854699388146,4.044085623025894,0.0647,0.7312596919946373,3.4336560094356536,0.0588,0.7355871857143939,3.474345756173134,0.96755,5.2188849351368845,0.10689010951318778,0.00010236119851469994,,,,,,,,,,,,,,,,
