,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp000,Time_Exp/eval_phase/train_stream/Task000/Exp000,Loss_Exp/eval_phase/train_stream/Task000/Exp000,Top1_Acc_Stream/eval_phase/train_stream/Task000,Time_Stream/eval_phase/train_stream/Task000,Loss_Stream/eval_phase/train_stream/Task000,Top1_Acc_MB/train_phase/train_stream/Task000,Time_MB/train_phase/train_stream/Task000,Loss_MB/train_phase/train_stream/Task000,Top1_Acc_Epoch/train_phase/train_stream/Task000,Time_Epoch/train_phase/train_stream/Task000,Loss_Epoch/train_phase/train_stream/Task000,<eval.metrics.ProjectionOverheadMetric object at 0x7f0b7c195000>/train_phase/train_stream/Task000/Exp000,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp000,Time_Exp/eval_phase/test_stream/Task000/Exp000,Loss_Exp/eval_phase/test_stream/Task000/Exp000,Top1_Acc_Stream/eval_phase/test_stream/Task000,Time_Stream/eval_phase/test_stream/Task000,Loss_Stream/eval_phase/test_stream/Task000,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp001,Time_Exp/eval_phase/test_stream/Task000/Exp001,Loss_Exp/eval_phase/test_stream/Task000/Exp001,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp002,Time_Exp/eval_phase/test_stream/Task000/Exp002,Loss_Exp/eval_phase/test_stream/Task000/Exp002,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp003,Time_Exp/eval_phase/test_stream/Task000/Exp003,Loss_Exp/eval_phase/test_stream/Task000/Exp003,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp004,Time_Exp/eval_phase/test_stream/Task000/Exp004,Loss_Exp/eval_phase/test_stream/Task000/Exp004,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp005,Time_Exp/eval_phase/test_stream/Task000/Exp005,Loss_Exp/eval_phase/test_stream/Task000/Exp005,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp001,Time_Exp/eval_phase/train_stream/Task000/Exp001,Loss_Exp/eval_phase/train_stream/Task000/Exp001,<eval.metrics.ProjectionOverheadMetric object at 0x7f0b7c195000>/train_phase/train_stream/Task000/Exp001,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp002,Time_Exp/eval_phase/train_stream/Task000/Exp002,Loss_Exp/eval_phase/train_stream/Task000/Exp002,<eval.metrics.ProjectionOverheadMetric object at 0x7f0b7c195000>/train_phase/train_stream/Task000/Exp002,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp003,Time_Exp/eval_phase/train_stream/Task000/Exp003,Loss_Exp/eval_phase/train_stream/Task000/Exp003,<eval.metrics.ProjectionOverheadMetric object at 0x7f0b7c195000>/train_phase/train_stream/Task000/Exp003,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp004,Time_Exp/eval_phase/train_stream/Task000/Exp004,Loss_Exp/eval_phase/train_stream/Task000/Exp004,<eval.metrics.ProjectionOverheadMetric object at 0x7f0b7c195000>/train_phase/train_stream/Task000/Exp004,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp005,Time_Exp/eval_phase/train_stream/Task000/Exp005,Loss_Exp/eval_phase/train_stream/Task000/Exp005,<eval.metrics.ProjectionOverheadMetric object at 0x7f0b7c195000>/train_phase/train_stream/Task000/Exp005
0,0.9661,4.50701683294028,0.11232967026813033,0.9661,4.507391329854727,0.11232967026813033,1.0,0.0014419839717447758,0.021205633878707886,0.9151,10.497008725069463,0.2828855887166535,0.0,0.963,0.7511157020926476,0.11701500315088197,0.963,0.7514758282341063,0.11701500315088197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.9661,4.50701683294028,0.11232967026813033,0.9661,4.507391329854727,0.11232967026813033,1.0,0.0014419839717447758,0.021205633878707886,0.9151,10.497008725069463,0.2828855887166535,0.0,0.963,0.7511157020926476,0.11701500315088197,0.0996,0.7360085039399564,3.224805939793587,0.0996,0.7356563378125429,3.224805939793587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.9661,4.50701683294028,0.11232967026813033,0.9661,4.507391329854727,0.11232967026813033,1.0,0.0014419839717447758,0.021205633878707886,0.9151,10.497008725069463,0.2828855887166535,0.0,0.963,0.7511157020926476,0.11701500315088197,0.0738,0.7323459619656205,3.5026982855796813,0.0996,0.7356563378125429,3.224805939793587,0.0738,0.7319850251078606,3.5026982855796813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.9661,4.50701683294028,0.11232967026813033,0.9661,4.507391329854727,0.11232967026813033,1.0,0.0014419839717447758,0.021205633878707886,0.9151,10.497008725069463,0.2828855887166535,0.0,0.963,0.7511157020926476,0.11701500315088197,0.1108,0.732937331777066,3.704646196961403,0.0996,0.7356563378125429,3.224805939793587,0.0738,0.7319850251078606,3.5026982855796813,0.1108,0.7325887060724199,3.704646196961403,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.9661,4.50701683294028,0.11232967026813033,0.9661,4.507391329854727,0.11232967026813033,1.0,0.0014419839717447758,0.021205633878707886,0.9151,10.497008725069463,0.2828855887166535,0.0,0.963,0.7511157020926476,0.11701500315088197,0.1764,0.7310457685962319,3.0381434187293053,0.0996,0.7356563378125429,3.224805939793587,0.0738,0.7319850251078606,3.5026982855796813,0.1108,0.7325887060724199,3.704646196961403,0.1764,0.7306970027275383,3.0381434187293053,,,,,,,,,,,,,,,,,,,,,,,
5,0.9661,4.50701683294028,0.11232967026813033,0.9661,4.507391329854727,0.11232967026813033,1.0,0.0014419839717447758,0.021205633878707886,0.9151,10.497008725069463,0.2828855887166535,0.0,0.963,0.7511157020926476,0.11701500315088197,0.1298,0.7347129108384252,3.2588671019673345,0.0996,0.7356563378125429,3.224805939793587,0.0738,0.7319850251078606,3.5026982855796813,0.1108,0.7325887060724199,3.704646196961403,0.1764,0.7306970027275383,3.0381434187293053,0.1298,0.7343608848750591,3.2588671019673345,,,,,,,,,,,,,,,,,,,,
6,0.9661,4.50701683294028,0.11232967026813033,0.9687,4.397849156986922,0.10410838610868571,1.0,0.0014374740421772003,0.06099851056933403,0.923,15.247588087804615,0.25057670378287633,0.0,0.9505,0.7436548210680485,0.16925719337625197,0.9505,0.7440096465870738,0.16925719337625197,0.0996,0.7356563378125429,3.224805939793587,0.0738,0.7319850251078606,3.5026982855796813,0.1108,0.7325887060724199,3.704646196961403,0.1764,0.7306970027275383,3.0381434187293053,0.1298,0.7343608848750591,3.2588671019673345,0.9687,4.397509270813316,0.10410838610868571,0.0,,,,,,,,,,,,,,,,
7,0.9661,4.50701683294028,0.11232967026813033,0.9687,4.397849156986922,0.10410838610868571,1.0,0.0014374740421772003,0.06099851056933403,0.923,15.247588087804615,0.25057670378287633,0.0,0.9505,0.7436548210680485,0.16925719337625197,0.9666,0.7353479498997331,0.10845484271165333,0.9666,0.7349918936379254,0.10845484271165333,0.0738,0.7319850251078606,3.5026982855796813,0.1108,0.7325887060724199,3.704646196961403,0.1764,0.7306970027275383,3.0381434187293053,0.1298,0.7343608848750591,3.2588671019673345,0.9687,4.397509270813316,0.10410838610868571,0.0,,,,,,,,,,,,,,,,
8,0.9661,4.50701683294028,0.11232967026813033,0.9687,4.397849156986922,0.10410838610868571,1.0,0.0014374740421772003,0.06099851056933403,0.923,15.247588087804615,0.25057670378287633,0.0,0.9505,0.7436548210680485,0.16925719337625197,0.0931,0.7342780409380794,4.504701669812203,0.9666,0.7349918936379254,0.10845484271165333,0.0931,0.7339261453598738,4.504701669812203,0.1108,0.7325887060724199,3.704646196961403,0.1764,0.7306970027275383,3.0381434187293053,0.1298,0.7343608848750591,3.2588671019673345,0.9687,4.397509270813316,0.10410838610868571,0.0,,,,,,,,,,,,,,,,
9,0.9661,4.50701683294028,0.11232967026813033,0.9687,4.397849156986922,0.10410838610868571,1.0,0.0014374740421772003,0.06099851056933403,0.923,15.247588087804615,0.25057670378287633,0.0,0.9505,0.7436548210680485,0.16925719337625197,0.1035,0.7333616050891578,4.823729294240475,0.9666,0.7349918936379254,0.10845484271165333,0.0931,0.7339261453598738,4.504701669812203,0.1035,0.7330113598145545,4.823729294240475,0.1764,0.7306970027275383,3.0381434187293053,0.1298,0.7343608848750591,3.2588671019673345,0.9687,4.397509270813316,0.10410838610868571,0.0,,,,,,,,,,,,,,,,
