Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp000,Time_Exp/eval_phase/test_stream/Task000/Exp000,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp001,Time_Exp/eval_phase/test_stream/Task000/Exp001,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp002,Time_Exp/eval_phase/test_stream/Task000/Exp002,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp003,Time_Exp/eval_phase/test_stream/Task000/Exp003,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp004,Time_Exp/eval_phase/test_stream/Task000/Exp004,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp005,Time_Exp/eval_phase/test_stream/Task000/Exp005,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp006,Time_Exp/eval_phase/test_stream/Task000/Exp006,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp007,Time_Exp/eval_phase/test_stream/Task000/Exp007,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp008,Time_Exp/eval_phase/test_stream/Task000/Exp008,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp009,Time_Exp/eval_phase/test_stream/Task000/Exp009,Top1_Acc_Stream/eval_phase/test_stream/Task000,Time_Stream/eval_phase/test_stream/Task000,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp000,Time_Exp/eval_phase/train_stream/Task000/Exp000,Top1_Acc_Stream/eval_phase/train_stream/Task000,Time_Stream/eval_phase/train_stream/Task000,Top1_Acc_MB/train_phase/train_stream/Task000,Time_MB/train_phase/train_stream/Task000,Top1_Acc_Epoch/train_phase/train_stream/Task000,Time_Epoch/train_phase/train_stream/Task000,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd00147e80>/train_phase/train_stream/Task000/Exp000,experience,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp001,Time_Exp/eval_phase/train_stream/Task000/Exp001,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd00147e80>/train_phase/train_stream/Task000/Exp001,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp002,Time_Exp/eval_phase/train_stream/Task000/Exp002,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd00147e80>/train_phase/train_stream/Task000/Exp002,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp003,Time_Exp/eval_phase/train_stream/Task000/Exp003,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd00147e80>/train_phase/train_stream/Task000/Exp003,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp004,Time_Exp/eval_phase/train_stream/Task000/Exp004,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd00147e80>/train_phase/train_stream/Task000/Exp004,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp005,Time_Exp/eval_phase/train_stream/Task000/Exp005,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd00147e80>/train_phase/train_stream/Task000/Exp005,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp006,Time_Exp/eval_phase/train_stream/Task000/Exp006,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd00147e80>/train_phase/train_stream/Task000/Exp006,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp007,Time_Exp/eval_phase/train_stream/Task000/Exp007,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd00147e80>/train_phase/train_stream/Task000/Exp007,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp008,Time_Exp/eval_phase/train_stream/Task000/Exp008,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd00147e80>/train_phase/train_stream/Task000/Exp008,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp009,Time_Exp/eval_phase/train_stream/Task000/Exp009,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd00147e80>/train_phase/train_stream/Task000/Exp009
0.206,0.11633488209918141,0.0,0.11592101631686091,0.0,0.11692762188613415,0.0,0.11695227306336164,0.0,0.1164023238234222,0.0,0.11580869508907199,0.0,0.11635632300749421,0.0,0.11622247099876404,0.0,0.11485626921057701,0.0,0.1160115166567266,0.0206,1.175600366666913,0.213,0.577186940703541,0.213,0.5780891259200871,0.25,0.00942635303363204,0.2332,2.6172104831784964,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.1084490236826241,0.179,0.11590132489800453,0.0,0.11211580410599709,0.0,0.10745513904839754,0.0,0.11610730923712254,0.0,0.11500886222347617,0.0,0.1132802632637322,0.0,0.11558569129556417,0.0,0.11615765886381269,0.0,0.11541089788079262,0.0179,1.1480982601642609,0.213,0.577186940703541,0.1864,0.5322954501025379,0.25,0.005654571112245321,0.2832,2.487489221151918,0.0,2,0.1864,0.5314451372250915,0.0,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.11605190811678767,0.0,0.11649755574762821,0.314,0.12111249985173345,0.0,0.11681460123509169,0.0,0.11719253612682223,0.0,0.11719783581793308,0.0,0.11615870893001556,0.0,0.11656776582822204,0.0,0.11488198861479759,0.0,0.11722186719998717,0.0314,1.183239680249244,0.213,0.577186940703541,0.3364,0.8282215842045844,0.25,0.009451404213905334,0.2976,2.593305150978267,0.0,3,0.1864,0.5314451372250915,0.0,0.3364,0.8273058296181262,0.0,,,,,,,,,,,,,,,,,,,,,
0.0,0.11539610708132386,0.0,0.11630755197256804,0.0,0.11484439903870225,0.312,0.11606250796467066,0.0,0.11510888207703829,0.0,0.11435459973290563,0.0,0.11477183690294623,0.0,0.11484896810725331,0.0,0.11214956501498818,0.0,0.11448309198021889,0.0312,1.1609593871980906,0.213,0.577186940703541,0.3078,0.5701637458987534,0.125,0.00941381324082613,0.3188,2.645818274933845,0.0,4,0.1864,0.5314451372250915,0.0,0.3364,0.8273058296181262,0.0,0.3078,0.569304761942476,0.0,,,,,,,,,,,,,,,,,,
0.0,0.11706371419131756,0.0,0.11705405404791236,0.0,0.11493032891303301,0.0,0.11726961703971028,0.375,0.11641193414106965,0.0,0.11652933526784182,0.0,0.11495795985683799,0.0,0.11558248102664948,0.0,0.11692428169772029,0.0,0.11695534270256758,0.0375,1.1764495982788503,0.213,0.577186940703541,0.3944,0.5753247789107263,0.25,0.009433314204216003,0.322,2.5780111593194306,0.0,5,0.1864,0.5314451372250915,0.0,0.3364,0.8273058296181262,0.0,0.3078,0.569304761942476,0.0,0.3944,0.5744716553017497,0.0,,,,,,,,,,,,,,,
0.0,0.11627915222197771,0.0,0.11622665077447891,0.0,0.12110941018909216,0.0,0.11233680788427591,0.0,0.11662120604887605,0.394,0.1148263169452548,0.0,0.10986373806372285,0.0,0.29712320398539305,0.0,0.11515965405851603,0.0,0.11484200833365321,0.0394,1.3471421138383448,0.213,0.577186940703541,0.3772,0.5778620112687349,0.375,0.0118919238448143,0.3318,2.5345428907312453,0.0,6,0.1864,0.5314451372250915,0.0,0.3364,0.8273058296181262,0.0,0.3078,0.569304761942476,0.0,0.3944,0.5744716553017497,0.0,0.3772,0.5769966072402894,0.0,,,,,,,,,,,,
0.0,0.10776332300156355,0.0,0.11690032202750444,0.0,0.11480854824185371,0.0,0.11030948394909501,0.0,0.11475189728662372,0.0,0.1165371360257268,0.331,0.10737874684855342,0.0,0.11467672605067492,0.0,0.11711761495098472,0.0,0.11690520215779543,0.0331,1.1498767849989235,0.213,0.577186940703541,0.3374,0.5722499191761017,0.5,0.009451203979551792,0.304,2.5295012672431767,0.0,7,0.1864,0.5314451372250915,0.0,0.3364,0.8273058296181262,0.0,0.3078,0.569304761942476,0.0,0.3944,0.5744716553017497,0.0,0.3772,0.5769966072402894,0.0,0.3374,0.5714017050340772,0.0,,,,,,,,,
0.0,0.1074602478183806,0.0,0.10684336815029383,0.0,0.1072447239421308,0.0,0.10755233932286501,0.0,0.10751302912831306,0.0,0.10759046906605363,0.0,0.1170053631067276,0.355,0.11593927489593625,0.0,0.10739927692338824,0.0,0.11509964196011424,0.0355,1.1121609299443662,0.213,0.577186940703541,0.3676,0.5331702022813261,0.625,0.005373316816985607,0.3068,2.4840974770486355,0.0,8,0.1864,0.5314451372250915,0.0,0.3364,0.8273058296181262,0.0,0.3078,0.569304761942476,0.0,0.3944,0.5744716553017497,0.0,0.3772,0.5769966072402894,0.0,0.3374,0.5714017050340772,0.0,0.3676,0.532164036296308,0.0,,,,,,
0.0,0.11640448309481144,0.0,0.11720262607559562,0.0,0.11693630181252956,0.0,0.11653221491724253,0.0,0.1163863530382514,0.0,0.11744906008243561,0.0,0.11548997787758708,0.0,0.11779552511870861,0.27,0.11680357018485665,0.0,0.1159588061273098,0.027,1.1803230778314173,0.213,0.577186940703541,0.3084,0.581842603161931,0.25,0.009438362903892994,0.3068,2.5336769418790936,0.0,9,0.1864,0.5314451372250915,0.0,0.3364,0.8273058296181262,0.0,0.3078,0.569304761942476,0.0,0.3944,0.5744716553017497,0.0,0.3772,0.5769966072402894,0.0,0.3374,0.5714017050340772,0.0,0.3676,0.532164036296308,0.0,0.3084,0.5809986987151206,0.0,,,
0.0,0.1148025169968605,0.0,0.1173789999447763,0.0,0.10951923113316298,0.0,0.11726452689617872,0.0,0.11698344210162759,0.0,0.11702302284538746,0.0,0.11491135833784938,0.0,0.11657536728307605,0.0,0.11777818482369184,0.254,0.1174993421882391,0.0254,1.1724402499385178,0.213,0.577186940703541,0.2576,0.8113644360564649,0.5,0.009434212930500507,0.2768,2.642386199440807,0.0,10,0.1864,0.5314451372250915,0.0,0.3364,0.8273058296181262,0.0,0.3078,0.569304761942476,0.0,0.3944,0.5744716553017497,0.0,0.3772,0.5769966072402894,0.0,0.3374,0.5714017050340772,0.0,0.3676,0.532164036296308,0.0,0.3084,0.5809986987151206,0.0,0.2576,0.8104975721798837,0.0
