Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp000,Time_Exp/eval_phase/test_stream/Task000/Exp000,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp001,Time_Exp/eval_phase/test_stream/Task000/Exp001,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp002,Time_Exp/eval_phase/test_stream/Task000/Exp002,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp003,Time_Exp/eval_phase/test_stream/Task000/Exp003,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp004,Time_Exp/eval_phase/test_stream/Task000/Exp004,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp005,Time_Exp/eval_phase/test_stream/Task000/Exp005,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp006,Time_Exp/eval_phase/test_stream/Task000/Exp006,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp007,Time_Exp/eval_phase/test_stream/Task000/Exp007,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp008,Time_Exp/eval_phase/test_stream/Task000/Exp008,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp009,Time_Exp/eval_phase/test_stream/Task000/Exp009,Top1_Acc_Stream/eval_phase/test_stream/Task000,Time_Stream/eval_phase/test_stream/Task000,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp000,Time_Exp/eval_phase/train_stream/Task000/Exp000,Top1_Acc_Stream/eval_phase/train_stream/Task000,Time_Stream/eval_phase/train_stream/Task000,Top1_Acc_MB/train_phase/train_stream/Task000,Time_MB/train_phase/train_stream/Task000,Top1_Acc_Epoch/train_phase/train_stream/Task000,Time_Epoch/train_phase/train_stream/Task000,<eval.metrics.ProjectionOverheadMetric object at 0x7f48ed7d1b10>/train_phase/train_stream/Task000/Exp000,experience,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp001,Time_Exp/eval_phase/train_stream/Task000/Exp001,<eval.metrics.ProjectionOverheadMetric object at 0x7f48ed7d1b10>/train_phase/train_stream/Task000/Exp001,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp002,Time_Exp/eval_phase/train_stream/Task000/Exp002,<eval.metrics.ProjectionOverheadMetric object at 0x7f48ed7d1b10>/train_phase/train_stream/Task000/Exp002,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp003,Time_Exp/eval_phase/train_stream/Task000/Exp003,<eval.metrics.ProjectionOverheadMetric object at 0x7f48ed7d1b10>/train_phase/train_stream/Task000/Exp003,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp004,Time_Exp/eval_phase/train_stream/Task000/Exp004,<eval.metrics.ProjectionOverheadMetric object at 0x7f48ed7d1b10>/train_phase/train_stream/Task000/Exp004,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp005,Time_Exp/eval_phase/train_stream/Task000/Exp005,<eval.metrics.ProjectionOverheadMetric object at 0x7f48ed7d1b10>/train_phase/train_stream/Task000/Exp005,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp006,Time_Exp/eval_phase/train_stream/Task000/Exp006,<eval.metrics.ProjectionOverheadMetric object at 0x7f48ed7d1b10>/train_phase/train_stream/Task000/Exp006,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp007,Time_Exp/eval_phase/train_stream/Task000/Exp007,<eval.metrics.ProjectionOverheadMetric object at 0x7f48ed7d1b10>/train_phase/train_stream/Task000/Exp007,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp008,Time_Exp/eval_phase/train_stream/Task000/Exp008,<eval.metrics.ProjectionOverheadMetric object at 0x7f48ed7d1b10>/train_phase/train_stream/Task000/Exp008,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp009,Time_Exp/eval_phase/train_stream/Task000/Exp009,<eval.metrics.ProjectionOverheadMetric object at 0x7f48ed7d1b10>/train_phase/train_stream/Task000/Exp009
0.9524,1.0423418539576232,0.1253,0.604405147023499,0.0923,0.6008023861795664,0.0957,0.6616927748546004,0.1189,0.6120649906806648,0.1026,0.6264293869026005,0.1528,0.6218478619121015,0.1182,0.6204378786496818,0.1107,0.6129164546728134,0.0847,0.6390931848436594,0.19536,6.654858032241464,0.9537666666666667,3.772174554876983,0.9537666666666667,3.7727943751960993,0.875,0.0016630780883133411,0.8983333333333333,7.371655610855669,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9442,0.6517651430331171,0.9586,0.6280682343058288,0.0999,0.6471540662460029,0.0791,0.6158561427146196,0.1269,0.6347465431317687,0.0673,0.654368313960731,0.127,0.6775930458679795,0.1004,0.6234317570924759,0.0902,0.6283622188493609,0.0789,0.6296933409757912,0.26725,6.406158262863755,0.9537666666666667,3.772174554876983,0.961,4.312953297048807,0.9375,0.0019116508774459362,0.9111166666666667,7.311221956741065,0.0,2,0.961,4.312500618863851,0.0,,,,,,,,,,,,,,,,,,,,,,,,
0.9216,0.6356824981048703,0.9419,0.6344893579371274,0.9625,0.6288879662752151,0.0711,0.6319621568545699,0.1021,0.9347215481102467,0.0743,0.6260203197598457,0.102,0.6191785680130124,0.1198,0.6317652040161192,0.0874,0.6215086672455072,0.0751,0.6076910388655961,0.34578,6.589200409129262,0.9537666666666667,3.772174554876983,0.9644166666666667,3.768335558939725,0.96875,0.0017012469470500946,0.9148833333333334,7.23454964812845,0.0,3,0.961,4.312500618863851,0.0,0.9644166666666667,3.7675410960800946,0.0,,,,,,,,,,,,,,,,,,,,,
0.8909,0.6589250192046165,0.9249,0.629982893820852,0.9508,0.629348595160991,0.9606,0.6730833412148058,0.0874,0.7438880112022161,0.0764,0.7350828070193529,0.1072,0.6926654223352671,0.1295,0.7247703480534256,0.0948,0.7006798130460083,0.0784,0.724242168944329,0.43009,6.929252199362963,0.9537666666666667,3.772174554876983,0.9636166666666667,4.1671525640413165,1.0,0.0012576598674058914,0.9152,6.716456643305719,0.0,4,0.961,4.312500618863851,0.0,0.9644166666666667,3.7675410960800946,0.0,0.9636166666666667,4.166439551860094,0.0,,,,,,,,,,,,,,,,,,
0.8287,0.645836643408984,0.8979,0.6243242020718753,0.9339,0.6214547152630985,0.9547,0.642749463673681,0.9595,0.6479739788919687,0.0861,0.6314929989166558,0.0888,0.6280693630687892,0.1383,0.6346222199499607,0.0755,0.6113553890027106,0.1148,0.6118333372287452,0.50782,6.317435590084642,0.9537666666666667,3.772174554876983,0.9647,4.38119874894619,0.78125,0.0014276639558374882,0.9142,7.248930647037923,0.0,5,0.961,4.312500618863851,0.0,0.9644166666666667,3.7675410960800946,0.0,0.9636166666666667,4.166439551860094,0.0,0.9647,4.380578339099884,0.0,,,,,,,,,,,,,,,
0.7631,0.6441113059408963,0.8274,1.0391302090138197,0.9073,0.6113489987328649,0.9409,0.6220462140627205,0.9526,0.6122838542796671,0.9629,0.6547124590724707,0.1122,0.6953978161327541,0.1234,0.6555442730896175,0.1117,0.7043266319669783,0.1186,0.674629676155746,0.58201,6.930461493786424,0.9537666666666667,3.772174554876983,0.96735,3.846904442179948,1.0,0.001435713842511177,0.9178666666666667,7.264585230033845,0.0,6,0.961,4.312500618863851,0.0,0.9644166666666667,3.7675410960800946,0.0,0.9636166666666667,4.166439551860094,0.0,0.9647,4.380578339099884,0.0,0.96735,3.845916165970266,0.0,,,,,,,,,,,,
0.6779,0.6292997119016945,0.8152,0.6087579047307372,0.8824,0.6494581629522145,0.9197,0.6306228241883218,0.9464,0.6318382238969207,0.953,0.625751884188503,0.9634,0.6354507827199996,0.1128,0.6135923750698566,0.1078,0.6155773070640862,0.1047,0.6217649490572512,0.64833,6.27679751906544,0.9537666666666667,3.772174554876983,0.9672,4.028504175134003,0.9375,0.001330351922661066,0.91765,7.1581218130886555,0.0,7,0.961,4.312500618863851,0.0,0.9644166666666667,3.7675410960800946,0.0,0.9636166666666667,4.166439551860094,0.0,0.9647,4.380578339099884,0.0,0.96735,3.845916165970266,0.0,0.9672,4.027788213919848,0.0,,,,,,,,,
0.5744,0.6289646169170737,0.7977,0.6278512589633465,0.8469,0.630098985042423,0.8873,0.6200702707283199,0.9386,0.615609988104552,0.9483,0.615197901148349,0.9496,0.6239330749958754,0.9615,0.6289930972270668,0.0948,0.6185172651894391,0.1037,0.6001804452389479,0.71028,6.22481096489355,0.9537666666666667,3.772174554876983,0.9662,4.0084548173472285,1.0,0.0014200643636286259,0.9166166666666666,7.2164286761544645,0.0,8,0.961,4.312500618863851,0.0,0.9644166666666667,3.7675410960800946,0.0,0.9636166666666667,4.166439551860094,0.0,0.9647,4.380578339099884,0.0,0.96735,3.845916165970266,0.0,0.9672,4.027788213919848,0.0,0.9662,4.0078838667832315,0.0,,,,,,
0.3955,1.045375100336969,0.6739,0.7145900689065456,0.8053,0.725888614077121,0.8546,0.7033172938972712,0.911,0.6810160498134792,0.9284,0.7180285560898483,0.932,0.7486044270917773,0.9555,0.7895459779538214,0.9649,0.6369732180610299,0.1246,0.6632118280977011,0.75457,7.445422573946416,0.9537666666666667,3.772174554876983,0.9682833333333334,4.009602304082364,1.0,0.001323122065514326,0.9177166666666666,7.234151924028993,0.0,9,0.961,4.312500618863851,0.0,0.9644166666666667,3.7675410960800946,0.0,0.9636166666666667,4.166439551860094,0.0,0.9647,4.380578339099884,0.0,0.96735,3.845916165970266,0.0,0.9672,4.027788213919848,0.0,0.9662,4.0078838667832315,0.0,0.9682833333333334,4.009220807813108,0.0,,,
0.4129,0.6501810988411307,0.6108,0.6208350900560617,0.7896,0.6243398780934513,0.8,0.6252079717814922,0.8543,0.6154336892068386,0.9142,0.6135408575646579,0.8978,0.61744125187397,0.9424,0.6162931029684842,0.9587,0.6127644539810717,0.9624,0.6141222468577325,0.81431,6.225227654911578,0.9537666666666667,3.772174554876983,0.96695,4.035945308860391,0.9375,0.0013054916635155678,0.9172833333333333,7.335681065917015,0.0,10,0.961,4.312500618863851,0.0,0.9644166666666667,3.7675410960800946,0.0,0.9636166666666667,4.166439551860094,0.0,0.9647,4.380578339099884,0.0,0.96735,3.845916165970266,0.0,0.9672,4.027788213919848,0.0,0.9662,4.0078838667832315,0.0,0.9682833333333334,4.009220807813108,0.0,0.96695,4.034545876085758,0.0
